Date,GLD,QQQ,SPY,TLT
2018-06-15,121.33999633789062,167.8352508544922,245.36483764648438,95.73284912109375
2018-06-18,121.11000061035156,167.7383575439453,244.860107421875,95.64540100097656
2018-06-19,120.80000305175781,167.26318359375,243.9217071533203,96.20208740234375
2018-06-20,120.26000213623047,168.45108032226562,244.33778381347656,95.35910034179688
2018-06-21,120.05000305175781,166.98753356933594,242.8061065673828,95.860107421875
2018-06-22,120.33999633789062,166.6168975830078,243.2487335205078,95.8521957397461
2018-06-25,119.88999938964844,162.86300659179688,239.9375,96.06688690185547
2018-06-26,119.26000213623047,163.5282440185547,240.46871948242188,96.20208740234375
2018-06-27,118.58000183105469,161.30442810058594,238.47662353515625,97.108642578125
2018-06-28,118.22000122070312,162.69195556640625,239.84007263183594,97.1325454711914
2018-06-29,118.6500015258789,163.1290740966797,240.18539428710938,96.79850006103516
2018-07-02,117.45999908447266,164.22203063964844,240.6988525390625,96.7228012084961
2018-07-03,118.6500015258789,162.3213348388672,239.84893798828125,97.24085998535156
2018-07-05,119.05000305175781,164.33609008789062,241.8055419921875,97.51984405517578
2018-07-06,118.86000061035156,166.8925018310547,243.85076904296875,97.83866882324219
2018-07-09,119.1500015258789,168.39410400390625,246.04653930664062,97.20896911621094
2018-07-10,118.93000030517578,168.51763916015625,246.93194580078125,97.20100402832031
2018-07-11,117.63999938964844,167.6623077392578,245.1257781982422,97.57559967041016
2018-07-12,118.12999725341797,170.5513916015625,247.34812927246094,97.567626953125
2018-07-13,117.61000061035156,170.69395446777344,247.54281616210938,97.81475830078125
2018-07-16,117.55000305175781,170.28530883789062,247.32154846191406,97.40824127197266
2018-07-17,116.27999877929688,171.3212432861328,248.32191467285156,97.22492980957031
2018-07-18,116.30999755859375,170.99806213378906,248.8443145751953,96.8343734741211
2018-07-19,115.80999755859375,170.14273071289062,247.90585327148438,97.44808959960938
2018-07-20,116.55999755859375,170.104736328125,247.62258911132812,96.25252532958984
2018-07-23,116.0,170.64646911621094,248.08303833007812,95.06489562988281
2018-07-24,116.04000091552734,171.34967041015625,249.33126831054688,95.39173889160156
2018-07-25,116.68000030517578,173.74465942382812,251.4562530517578,95.240234375
2018-07-26,115.7699966430664,171.11219787597656,250.86300659179688,95.05694580078125
2018-07-27,115.83000183105469,168.80271911621094,249.16319274902344,95.21636199951172
2018-07-30,115.6500015258789,166.41734313964844,247.8616180419922,94.8895263671875
2018-07-31,115.98999786376953,167.69085693359375,249.08335876464844,95.40763092041016
2018-08-01,115.13999938964844,168.3275604248047,248.66726684570312,94.63035583496094
2018-08-02,114.5199966430664,170.61798095703125,250.0220184326172,94.76618194580078
2018-08-03,114.91999816894531,171.14064025878906,251.09323120117188,95.23748779296875
2018-08-06,114.33000183105469,172.14804077148438,252.01406860351562,95.29342651367188
2018-08-07,114.58999633789062,172.7752227783203,252.84625244140625,94.79811096191406
2018-08-08,114.91000366210938,172.98431396484375,252.7400360107422,94.89403533935547
2018-08-09,114.73999786376953,172.87982177734375,252.39471435546875,95.69281005859375
2018-08-10,114.69000244140625,171.55880737304688,250.70361328125,96.3878173828125
2018-08-13,112.95999908447266,171.36875915527344,249.76512145996094,96.18810272216797
2018-08-14,113.06999969482422,172.44264221191406,251.35885620117188,95.97242736816406
2018-08-15,111.19000244140625,170.33279418945312,249.48182678222656,96.53158569335938
2018-08-16,111.0999984741211,170.89353942871094,251.50048828125,96.52360534667969
2018-08-17,112.12999725341797,170.93153381347656,252.38589477539062,96.6434555053711
2018-08-20,112.69000244140625,170.77947998046875,252.92604064941406,97.29049682617188
2018-08-21,113.0199966430664,171.40667724609375,253.51919555664062,96.96295928955078
2018-08-22,113.2699966430664,172.0719757080078,253.36866760253906,97.3464126586914
2018-08-23,112.19999694824219,171.82489013671875,253.03224182128906,97.49818420410156
2018-08-24,114.16000366210938,173.4214630126953,254.5551300048828,97.68993377685547
2018-08-27,114.58999633789062,175.1891632080078,256.5647888183594,97.1307373046875
2018-08-28,113.68000030517578,175.4457550048828,256.6888122558594,96.5475845336914
2018-08-29,114.19999694824219,177.4700164794922,258.0700378417969,96.67538452148438
2018-08-30,113.63999938964844,177.1564178466797,257.0251770019531,96.88306427001953
2018-08-31,113.51000213623047,177.38450622558594,257.0340881347656,96.659423828125
2018-09-04,112.93000030517578,176.62423706054688,256.5914611816406,96.1006088256836
2018-09-05,113.31999969482422,174.34332275390625,255.90074157714844,95.84437561035156
2018-09-06,113.54000091552734,172.78477478027344,255.13047790527344,96.19664764404297
2018-09-07,113.2300033569336,172.11947631835938,254.63473510742188,95.3799819946289
2018-09-10,113.1500015258789,172.6992645263672,255.0774383544922,95.73226165771484
2018-09-11,113.22000122070312,174.0297088623047,255.91848754882812,95.00370788574219
2018-09-12,114.16999816894531,173.51649475097656,255.98049926757812,95.22787475585938
2018-09-13,113.76000213623047,175.36968994140625,257.49456787109375,95.37199401855469
2018-09-14,113.0199966430664,174.8565673828125,257.5387878417969,94.91561889648438
2018-09-17,113.61000061035156,172.33807373046875,256.1753234863281,94.91561889648438
2018-09-18,113.44000244140625,173.76365661621094,257.5653381347656,93.92285919189453
2018-09-19,113.87999725341797,173.6305389404297,257.83984375,93.36241912841797
2018-09-20,114.2699966430664,175.55030822753906,259.9293212890625,93.79474639892578
2018-09-21,113.48999786376953,174.59043884277344,259.6918029785156,93.75470733642578
2018-09-24,113.47000122070312,175.07601928710938,258.8290710449219,93.51449584960938
2018-09-25,113.6500015258789,175.3140106201172,258.5890197753906,93.41842651367188
2018-09-26,113.05000305175781,175.43777465820312,257.8152160644531,94.074951171875
2018-09-27,112.05000305175781,176.92300415039062,258.53564453125,94.1390380859375
2018-09-28,112.76000213623047,176.88491821289062,258.5623474121094,93.89082336425781
2018-10-01,112.56999969482422,177.24668884277344,259.46063232421875,93.20155334472656
2018-10-02,113.87000274658203,176.84686279296875,259.30938720703125,93.771240234375
2018-10-03,113.41999816894531,177.0372314453125,259.45172119140625,92.1423110961914
